type ,abscissa,ordinate,color,value
pentagon ,50.48801364,83.09951912,Neon Green,6
Clock (3:00),50.48990237,39.20541197,Grey,3000
banana,50.49224751,78.99753207,Orange,1
Clock (3:00),50.49757224,7.409625234,Grey,3000
pentagon ,50.50139658,17.10577072,Neon Green,6
banana,50.5128,9.4872,Yellow ,1
pentagon ,50.51712581,89.10239459,Neon Green,6
pentagon ,50.53363501,17.01958137,Neon Green,6
pentagon ,50.55127806,17.08465518,Neon Green,6
pentagon ,50.55975806,17.09388377,Neon Green,6
pentagon ,50.56284634,82.93782178,Neon Green,6
Clock (2:00),50.56324448,62.62382797,Pink,2
pentagon ,50.56484556,17.07777732,Neon Green,6
banana,50.56493381,79.07729855,Orange,1
polygons (15 sides),50.58396311,71.8066161,Grey,5
pentagon ,50.63098196,17.07652235,Neon Green,6
Clock (2:00),50.64922115,37.48379074,Pink,2
pentagon ,50.65835477,83.11447934,Neon Green,6
pentagon ,50.66177956,17.07814052,Neon Green,6
pentagon ,50.69112419,87.51396042,Neon Green,6
pentagon ,50.69985064,17.08518438,Neon Green,6
pentagon ,50.70468436,17.02374454,Neon Green,6
pentagon ,50.71137854,17.08831585,Neon Green,6
pentagon ,50.72525854,16.90746981,Neon Green,6
pentagon ,50.73367454,16.99296341,Neon Green,6
polygons (11 sides),50.74516224,10.52490557,Grey,22
pentagon ,50.75210826,82.9019501,Neon Green,6
banana,50.75389841,76.75412895,Blue,1
pentagon ,50.78515721,17.18019648,Neon Green,6
pentagon ,50.79235473,17.20421434,Neon Green,6
pentagon ,50.81197535,17.11492526,Neon Green,6
pentagon ,50.8127449,16.57271805,Neon Green,6
banana,50.81548536,78.95083881,Blue,1
Clock (2:00),50.84330462,37.7446281,Pink,2
polygons (15 sides),50.85063364,13.98760163,Grey,5
pentagon ,50.86268433,17.14563109,Neon Green,6
polygons (11 sides),50.87848838,10.50308987,Grey,22
pentagon ,50.89149225,17.14132373,Neon Green,6
banana,50.89252158,29.14528394,Blue,1
pentagon ,50.91894087,17.14760476,Neon Green,6
pentagon ,50.9295477,82.84604113,Neon Green,6
pentagon ,50.93930391,16.98102188,Neon Green,6
Clock (2:00),50.94238231,62.09739394,Pink,2
pentagon ,51.01423296,17.22109553,Neon Green,6
banana,51.0256,44.1026,Yellow ,1
pentagon ,51.0668072,17.20885971,Neon Green,6
Clock (2:00),51.10031736,38.09569998,Pink,2
pentagon ,51.14791671,90.86741233,Neon Green,6
banana,51.17053689,79.16529411,Orange,1
banana,51.18346666,85.12885465,Blue,1
pentagon ,51.25091965,17.24045586,Neon Green,6
pentagon ,51.26387123,17.16234971,Neon Green,6
banana,51.27439182,82.81798294,Blue,1
banana,51.2821,78.718,Yellow ,1
banana,51.2821,14.8718,Yellow ,1
banana,51.28845866,82.43593984,Orange,1
Clock (2:00),51.34602714,61.60055304,Pink,2
banana,51.34788323,27.36426023,Blue,1
polygons (11 sides),51.40678679,89.71213855,Grey,22
banana,51.45365835,26.02294175,Blue,1
banana,51.46710114,79.20184458,Orange,1
banana,51.47345851,79.159867,Orange,1
banana,51.5385,96.0256,Yellow ,1
banana,51.5385,34.8718,Yellow ,1
banana,51.5669948,16.48571364,Orange,1
banana,51.66378626,19.9251252,Blue,1
polygons (11 sides),51.68030044,89.99702755,Grey,22
pentagon ,51.73728166,92.97911753,Neon Green,6
polygons (11 sides),51.74908916,30.47299334,Grey,22
banana,51.81166378,17.0334946,Blue,1
polygons (11 sides),51.82026255,89.8341304,Grey,22
polygons (11 sides),51.82812745,70.35264921,Grey,22
pentagon ,51.83563726,52.33576553,Neon Green,6
banana,51.85629997,21.96908401,Blue,1
polygons (11 sides),51.86789377,50.49327326,Grey,22
polygons (11 sides),51.89416639,30.49475568,Grey,22
pentagon ,51.92759021,52.25779061,Neon Green,6
banana,51.9829247,82.20438347,Blue,1
pentagon ,52.02521411,52.12301105,Neon Green,6
pentagon ,52.02884867,52.1768375,Neon Green,6
polygons (15 sides),52.03345628,64.56666203,Grey,5
banana,52.0513,12.5641,Yellow ,1
banana,52.08175556,16.45387453,Orange,1
Clock (2:00),52.13190194,39.36460208,Pink,2
pentagon ,52.18418011,51.97525067,Neon Green,6
banana,52.18811996,16.41821747,Orange,1
Clock (2:00),52.1898883,39.36779649,Pink,2
polygons (11 sides),52.20389393,10.49563692,Grey,22
pentagon ,52.26334738,94.24932783,Neon Green,6
banana,52.3077,18.3333,Yellow ,1
pentagon ,52.33156913,51.87886035,Neon Green,6
pentagon ,52.34282206,51.86195209,Neon Green,6
banana,52.35810536,19.41705412,Blue,1
polygons (11 sides),52.36033107,89.70431701,Grey,22
polygons (11 sides),52.41892192,10.49590636,Grey,22
polygons (15 sides),52.49440678,16.0511142,Grey,5
pentagon ,52.50008894,51.59435617,Neon Green,6
pentagon ,52.50930089,51.41620515,Neon Green,6
pentagon ,52.52055249,51.5024421,Neon Green,6
banana,52.53553472,27.17412294,Blue,1
banana,52.5641,46.0256,Yellow ,1
pentagon ,52.58971986,51.3380902,Neon Green,6
pentagon ,52.59281837,51.39159152,Neon Green,6
Clock (2:00),52.63096423,59.96393579,Pink,2
pentagon ,52.63565768,51.41855226,Neon Green,6
banana,52.64613731,16.38483638,Orange,1
banana,52.6840664,16.40796278,Orange,1
pentagon ,52.68495344,51.29446922,Neon Green,6
pentagon ,52.71377449,51.19794432,Neon Green,6
pentagon ,52.72924658,51.20176505,Neon Green,6
banana,52.75122222,79.29365993,Orange,1
pentagon ,52.79209735,51.07339565,Neon Green,6
pentagon ,52.79773294,50.68603709,Neon Green,6
polygons (11 sides),52.80197936,90.08806451,Grey,22
banana,52.81122164,17.85498812,Blue,1
banana,52.82501719,85.57813388,Orange,1
banana,52.83382053,72.55188627,Blue,1
pentagon ,52.88116479,50.62155476,Neon Green,6
pentagon ,52.88431329,50.44143545,Neon Green,6
pentagon ,52.90136407,50.69056272,Neon Green,6
Clock (2:00),52.94517809,40.38462569,Pink,2
pentagon ,52.95260731,50.07473901,Neon Green,6
Pentagon ,52.97069128,29.04019669,Yellow,5
polygons (11 sides),52.97671232,10.85949028,Grey,22
polygons (11 sides),53.0427983,50.48750387,Grey,22
banana,53.0769,55.641,Yellow ,1
banana,53.0769,85.2564,Yellow ,1
banana,53.08124169,79.29725077,Orange,1
polygons (11 sides),53.09655736,89.54024371,Grey,22
polygons (11 sides),53.11691504,10.5068606,Grey,22
polygons (15 sides),53.25912941,97.4757711,Grey,5
banana,53.28396884,84.26359922,Blue,1
Clock (2:00),53.30450317,40.88384455,Pink,2
polygons (11 sides),53.36656687,90.20803001,Grey,22
polygons (15 sides),53.42146288,26.18688039,Grey,5
banana,53.569905,16.33971255,Orange,1
banana,53.5897,37.5641,Yellow ,1
banana,53.71967657,79.30693617,Orange,1
polygons (11 sides),53.74899007,10.52257453,Grey,22
banana,53.77146068,79.30293164,Orange,1
banana,53.84619403,16.3873181,Orange,1
banana,53.8462,80.641,Yellow ,1
banana,53.8462,10.2564,Yellow ,1
banana,54.1026,14.8718,Yellow ,1
banana,54.11453178,17.67353439,Blue,1
Clock (2:00),54.17124157,58.0598079,Pink,2
banana,54.20023232,79.32500234,Orange,1
banana,54.22284562,19.50366554,Blue,1
banana,54.25640238,79.31386485,Orange,1
Pentagon ,54.41309365,78.22908659,Yellow,5
Pentagon ,54.57572859,77.53628847,Yellow,5
Pentagon ,54.62095259,30.34452445,Yellow,5
Clock (2:00),54.63620644,57.49384244,Pink,2
polygons (11 sides),54.68098658,89.96459946,Grey,22
banana,54.76115612,16.3661891,Orange,1
polygons (11 sides),54.8103005,10.72492928,Grey,22
polygons (11 sides),54.85463095,10.46391519,Grey,22
banana,54.8718,49.8718,Yellow ,1
polygons (11 sides),54.92484256,10.49833194,Grey,22
Pentagon ,55.0745059,79.81754642,Yellow,5
banana,55.1282,40.641,Yellow ,1
banana,55.1282,18.3333,Yellow ,1
banana,55.12963938,16.35324687,Orange,1
polygons (15 sides),55.13873797,30.72576036,Grey,5
Pentagon ,55.31550906,80.25186069,Yellow,5
banana,55.3846,97.1795,Yellow ,1
banana,55.3846,86.0256,Yellow ,1
banana,55.40652083,80.26667197,Blue,1
banana,55.57111973,17.36957458,Blue,1
banana,55.66295874,83.35647962,Orange,1
polygons (11 sides),55.74709281,50.4789748,Grey,22
banana,55.83963137,21.61856967,Blue,1
banana,55.95288863,16.7897576,Blue,1
banana,55.99303015,79.2772637,Orange,1
banana,56.1538,82.9487,Yellow ,1
banana,56.1538,14.1026,Yellow ,1
Pentagon ,56.17139753,32.11798877,Yellow,5
polygons (11 sides),56.23387566,89.63530816,Grey,22
banana,56.24793514,83.51394949,Blue,1
banana,56.26583426,79.25293949,Orange,1
banana,56.36515326,16.32654637,Orange,1
banana,56.45143367,79.24710702,Orange,1
banana,56.45937113,25.14456421,Blue,1
banana,56.47538337,79.1678401,Orange,1
Pentagon ,56.53133729,87.49981107,Yellow,5
Pentagon ,56.53812645,32.44424547,Yellow,5
polygons (15 sides),56.58415302,70.51251481,Grey,5
Pentagon ,56.59442132,86.92700622,Yellow,5
banana,56.60890766,70.40894609,Blue,1
polygons (11 sides),56.6189103,50.50337402,Grey,22
Pentagon ,56.6365087,85.63749556,Yellow,5
Pentagon ,56.66397408,87.94012501,Yellow,5
banana,56.6667,56.0256,Yellow ,1
banana,56.6667,42.1795,Yellow ,1
banana,56.6667,86.0256,Yellow ,1
banana,56.6667,40.641,Yellow ,1
polygons (11 sides),56.77214957,10.50327235,Grey,22
banana,56.78910436,17.30611552,Blue,1
polygons (11 sides),56.82839534,89.58366473,Grey,22
banana,56.92583942,79.20631862,Orange,1
polygons (11 sides),57.04980182,10.50813694,Grey,22
polygons (11 sides),57.05330614,10.51406924,Grey,22
banana,57.07589242,79.19392254,Orange,1
Clock (2:00),57.13485535,53.8779658,Pink,2
banana,57.14093593,16.59861054,Orange,1
banana,57.14469469,79.19410259,Orange,1
Pentagon ,57.27837287,89.90760672,Yellow,5
polygons (11 sides),57.31069687,50.48251329,Grey,22
banana,57.33790605,84.99951887,Blue,1
banana,57.4359,55.2564,Yellow ,1
banana,57.4359,10.2564,Yellow ,1
polygons (15 sides),57.46605055,1.504418175,Grey,5
Pentagon ,57.48944777,88.08528556,Yellow,5
Pentagon ,57.54947408,90.74890656,Yellow,5
banana,57.61323355,83.9051708,Blue,1
Pentagon ,57.61467439,33.82244765,Yellow,5
polygons (15 sides),57.61744782,8.194800603,Grey,5
banana,57.66227662,24.06060793,Blue,1
Pentagon ,57.82178923,90.69316655,Yellow,5
banana,57.90226605,79.08086782,Orange,1
polygons (11 sides),57.90268661,89.61840173,Grey,22
Pentagon ,57.91466448,89.95380277,Yellow,5
banana,57.9487,99.4872,Yellow ,1
Pentagon ,57.99780474,92.15990861,Yellow,5
Pentagon ,58.02451401,91.69442117,Yellow,5
Pentagon ,58.08202049,92.00814501,Yellow,5
banana,58.11876586,73.11896147,Blue,1
Pentagon ,58.19605369,92.21498865,Yellow,5
banana,58.21000827,68.04453807,Blue,1
Pentagon ,58.21360826,91.88189151,Yellow,5
Pentagon ,58.22161273,90.41101877,Yellow,5
polygons (11 sides),58.23909552,10.49489903,Grey,22
Pentagon ,58.2431719,92.10432787,Yellow,5
polygons (11 sides),58.246553,50.44287449,Grey,22
Pentagon ,58.24939106,92.12968148,Yellow,5
banana,58.27041238,35.59689504,Blue,1
polygons (11 sides),58.27227859,69.90027296,Grey,22
Pentagon ,58.38212449,90.55347607,Yellow,5
Pentagon ,58.46183859,90.26532639,Yellow,5
banana,58.50591009,81.74558634,Blue,1
banana,58.52828954,78.97870425,Orange,1
banana,58.57213547,16.64270381,Orange,1
polygons (11 sides),58.66937326,30.50683789,Grey,22
Pentagon ,58.672288,90.07716031,Yellow,5
banana,58.67266308,16.66337243,Orange,1
banana,58.7179,18.3333,Yellow ,1
Pentagon ,58.71823072,90.31053209,Yellow,5
polygons (11 sides),58.82154659,70.45578175,Grey,22
banana,58.83912512,16.63763522,Orange,1
polygons (15 sides),58.91246032,75.66775622,Grey,5
banana,58.98825385,78.91725896,Orange,1
banana,59.00075862,21.17100749,Blue,1
banana,59.06742702,26.78828402,Blue,1
banana,59.19115913,17.76790181,Blue,1
banana,59.2308,57.9487,Yellow ,1
banana,59.2308,44.4872,Yellow ,1
banana,59.2308,38.3333,Yellow ,1
polygons (11 sides),59.43551748,50.42063261,Grey,22
Pentagon ,59.52992846,88.32727415,Yellow,5
Pentagon ,59.65215837,87.80946159,Yellow,5
polygons (11 sides),59.75149741,89.73193252,Grey,22
banana,59.76653031,32.6212516,Blue,1
polygons (15 sides),59.83218542,69.15250814,Grey,5
banana,59.84692489,26.17771249,Blue,1
polygons (15 sides),59.85183839,72.95839097,Grey,5
polygons (11 sides),59.85257703,10.54318778,Grey,22
banana,59.96705791,26.80258322,Blue,1
banana,60,10.641,Yellow ,1
polygons (11 sides),60.18692784,70.48355125,Grey,22
banana,60.34979352,78.72944587,Orange,1
banana,60.67392092,17.05180236,Orange,1
banana,60.75578914,17.03323151,Orange,1
banana,60.7692,33.718,Yellow ,1
banana,60.78797008,17.04620486,Orange,1
banana,60.8065608,27.86831349,Blue,1
banana,60.9815014,23.93429816,Blue,1
banana,61.00295976,30.01531443,Blue,1
banana,61.12446324,17.11635336,Orange,1
banana,61.13594691,82.53756936,Blue,1
banana,61.2821,62.1795,Yellow ,1
banana,61.2821,19.1026,Yellow ,1
banana,61.41463372,31.03937506,Blue,1
banana,61.5385,66.4103,Yellow ,1
banana,61.72061919,85.70569345,Blue,1
banana,61.72763341,77.06923841,Blue,1
banana,61.7949,69.1026,Yellow ,1
banana,61.7949,99.1026,Yellow ,1
banana,61.81858546,76.11282402,Blue,1
banana,61.82654656,17.26965545,Orange,1
polygons (15 sides),61.85646511,71.79274316,Grey,5
Clock (2:00),61.9080397,53.19035207,Pink,2
banana,61.91560964,17.28219122,Orange,1
Pentagon ,62.10561863,75.99087076,Yellow,5
banana,62.19225208,76.15681921,Blue,1
polygons (15 sides),62.21352455,21.475839,Grey,5
banana,62.3077,46.0256,Yellow ,1
banana,62.33623276,83.2465679,Blue,1
polygons (15 sides),62.39118056,5.623070761,Grey,5
Pentagon ,62.49014932,74.58428961,Yellow,5
polygons (15 sides),62.51689085,66.48473224,Grey,5
Pentagon ,62.56675904,77.74393476,Yellow,5
banana,62.68567125,78.17474327,Orange,1
polygons (11 sides),62.68569044,30.54642456,Grey,22
banana,62.70745411,21.99550858,Blue,1
polygons (15 sides),62.83329309,62.51089423,Grey,5
polygons (15 sides),62.93445937,31.9163907,Grey,5
polygons (11 sides),63.01860093,30.49258193,Grey,22
Pentagon ,63.05599091,29.70909567,Yellow,5
banana,63.06524386,34.23574659,Blue,1
banana,63.0769,29.1026,Yellow ,1
banana,63.0769,19.1026,Yellow ,1
banana,63.09022514,78.0414095,Orange,1
polygons (15 sides),63.25019706,65.9524862,Grey,5
polygons (11 sides),63.30955403,10.48881424,Grey,22
banana,63.35648811,17.72406884,Orange,1
banana,63.39471287,17.70053514,Orange,1
Clock (2:00),63.40380601,44.84749369,Pink,2
polygons (15 sides),63.51498087,25.10007858,Grey,5
banana,63.60937986,83.36002884,Blue,1
Pentagon ,63.86895983,70.21373883,Yellow,5
polygons (15 sides),63.92020226,30.83219392,Grey,5
banana,64.01024068,17.92447819,Orange,1
banana,64.02084165,17.88358125,Orange,1
Pentagon ,64.0280813,27.67268551,Yellow,5
banana,64.06709621,27.77650056,Blue,1
banana,64.1026,25.2564,Yellow ,1
banana,64.1026,10.641,Yellow ,1
banana,64.24916065,14.91396246,Blue,1
banana,64.359,24.1026,Yellow ,1
polygons (15 sides),64.37379798,28.86258341,Grey,5
Clock (2:00),64.3979095,56.1748754,Pink,2
Pentagon ,64.40078719,67.44871845,Yellow,5
polygons (15 sides),64.40507526,78.58417608,Grey,5
polygons (15 sides),64.56826419,83.6396339,Grey,5
banana,64.61709853,22.44314555,Blue,1
polygons (11 sides),64.77479924,90.13231674,Grey,22
banana,64.80200945,18.21687863,Orange,1
banana,64.81286696,77.48693892,Orange,1
Clock (2:00),64.85203983,43.13373484,Pink,2
banana,64.8718,46.7949,Yellow ,1
banana,64.8718,97.5641,Yellow ,1
Pentagon ,64.89278794,65.81417676,Yellow,5
polygons (15 sides),64.93743554,81.55420499,Grey,5
polygons (11 sides),64.96973826,10.48215951,Grey,22
banana,65.02593981,18.2878245,Orange,1
Clock (2:00),65.02779371,57.09625735,Pink,2
Pentagon ,65.09904439,27.24155756,Yellow,5
banana,65.11812196,77.39918845,Orange,1
polygons (15 sides),65.21991355,84.68295493,Grey,5
banana,65.2230304,18.39719512,Orange,1
banana,65.3064625,18.19735483,Blue,1
banana,65.31504391,18.3337483,Orange,1
Clock (2:00),65.37154887,42.69597132,Pink,2
Clock (2:00),65.40083415,42.61403204,Pink,2
polygons (11 sides),65.41448705,10.68184013,Grey,22
polygons (15 sides),65.4759522,14.27458564,Grey,5
Clock (2:00),65.53078147,42.2810847,Pink,2
banana,65.59236265,20.6941731,Blue,1
polygons (15 sides),65.62365744,15.58280335,Grey,5
banana,65.75555154,18.51621583,Orange,1
banana,65.80721903,18.14076495,Orange,1
banana,65.8974,20.2564,Yellow ,1
polygons (11 sides),65.94931927,50.49424079,Grey,22
polygons (15 sides),65.95359519,31.14740608,Grey,5
polygons (15 sides),65.97085702,72.744856,Grey,5
polygons (11 sides),65.99527272,30.47502419,Grey,22
banana,66.0937202,77.01781826,Orange,1
Pentagon ,66.2878906,26.11710975,Yellow,5
polygons (15 sides),66.45490366,19.83662865,Grey,5
Clock (2:00),66.51292446,59.07128185,Pink,2
polygons (15 sides),66.704944,32.01509543,Grey,5
polygons (11 sides),66.76325739,70.47386171,Grey,22
polygons (11 sides),66.76994662,70.42337521,Grey,22
banana,66.9231,10.641,Yellow ,1
banana,66.94167666,18.24350939,Blue,1
banana,66.94329143,20.1891325,Blue,1
banana,66.99074915,17.22287065,Blue,1
polygons (11 sides),67.088559,30.49452395,Grey,22
polygons (11 sides),67.21483712,70.26002844,Grey,22
polygons (15 sides),67.26940048,18.70896837,Grey,5
polygons (15 sides),67.3724659,29.7204002,Grey,5
polygons (15 sides),67.6707164,37.11094797,Grey,5
polygons (15 sides),67.75979625,72.42120153,Grey,5
polygons (11 sides),67.87088729,70.06802613,Grey,22
Pentagon ,67.88171962,24.23601841,Yellow,5
banana,67.9487,47.9487,Yellow ,1
banana,67.9487,22.1795,Yellow ,1
banana,67.9487,8.718,Yellow ,1
polygons (11 sides),67.96804811,50.45215891,Grey,22
polygons (15 sides),67.98053881,80.95716522,Grey,5
banana,68.08560586,76.1123175,Orange,1
banana,68.2051,2.9487,Yellow ,1
polygons (15 sides),68.23076899,80.87250166,Grey,5
polygons (11 sides),68.40301004,50.49862723,Grey,22
banana,68.4615,94.1026,Yellow ,1
banana,68.4615,5.2564,Yellow ,1
polygons (15 sides),68.50770819,15.45691897,Grey,5
Clock (2:00),68.68659329,62.23734399,Pink,2
banana,68.7456313,75.79005545,Orange,1
banana,68.89278402,20.03244884,Orange,1
banana,68.93436947,31.61989309,Blue,1
Clock (2:00),68.94207546,62.63515058,Pink,2
Pentagon ,68.98808443,63.23214731,Yellow,5
banana,69.1952352,22.70979217,Blue,1
Clock (3:00),69.19905771,60.41895732,Grey,3000
polygons (11 sides),69.23941796,30.50600524,Grey,22
polygons (15 sides),69.35955946,65.5213546,Grey,5
banana,69.4872,69.4872,Yellow ,1
Clock (3:00),69.4875894,81.83598756,Grey,3000
Clock (3:00),69.49438031,52.61241071,Grey,3000
Clock (3:00),69.4957555,58.78507316,Grey,3000
Clock (3:00),69.49897007,92.12048993,Grey,3000
Clock (3:00),69.49947887,16.33746998,Grey,3000
Clock (3:00),69.49948683,10.20782668,Grey,3000
Clock (3:00),69.49976693,84.47968329,Grey,3000
Clock (3:00),69.50011149,11.79162601,Grey,3000
Clock (3:00),69.50026475,27.13602399,Grey,3000
Clock (3:00),69.50104452,5.955833539,Grey,3000
Clock (3:00),69.50345741,16.87831327,Grey,3000
Clock (3:00),69.50347452,17.16908977,Grey,3000
Clock (3:00),69.50380137,81.81540562,Grey,3000
Clock (3:00),69.50415652,23.6689181,Grey,3000
Clock (3:00),69.50437629,70.49344382,Grey,3000
Clock (3:00),69.50481542,15.61435826,Grey,3000
Clock (3:00),69.50507067,33.7401525,Grey,3000
Clock (3:00),69.5057889,59.28492483,Grey,3000
Clock (3:00),69.50647195,22.72866287,Grey,3000
Clock (3:00),69.50668432,68.08446679,Grey,3000
Clock (3:00),69.51010693,61.32962443,Grey,3000
Clock (3:00),69.51257301,61.49756395,Grey,3000
banana,69.51358316,20.27935789,Orange,1
Clock (3:00),69.51867275,15.18048643,Grey,3000
Clock (3:00),69.51909526,11.4226857,Grey,3000
Clock (3:00),69.51911573,71.11596722,Grey,3000
Clock (3:00),69.51933976,47.38453371,Grey,3000
Clock (3:00),69.5202566,97.19387602,Grey,3000
Clock (3:00),69.52463598,2.73476017,Grey,3000
Clock (3:00),69.52506938,93.59805021,Grey,3000
Clock (3:00),69.52632289,56.99527913,Grey,3000
Clock (3:00),69.52752968,9.992296666,Grey,3000
Clock (3:00),69.52861566,91.62208824,Grey,3000
Clock (3:00),69.52918261,57.84126668,Grey,3000
Clock (3:00),69.53227958,21.85090082,Grey,3000
Clock (3:00),69.53407098,64.89297733,Grey,3000
Clock (3:00),69.55067898,9.032987569,Grey,3000
Clock (3:00),69.55109144,58.40109827,Grey,3000
Clock (3:00),69.56189943,15.99980379,Grey,3000
Clock (3:00),69.57986705,21.93523675,Grey,3000
Pentagon ,69.64702143,44.04444502,Yellow,5
Pentagon ,69.89581924,43.45375927,Yellow,5
polygons (11 sides),69.9647805,10.50723293,Grey,22
banana,69.96773412,20.53898878,Orange,1
polygons (15 sides),70.04054358,77.1438066,Grey,5
polygons (15 sides),70.06892594,7.593465609,Grey,5
polygons (11 sides),70.08686977,30.51004482,Grey,22
banana,70.1028045,75.68320685,Orange,1
Clock (2:00),70.11803414,36.44818479,Pink,2
polygons (15 sides),70.24254644,24.10959755,Grey,5
polygons (15 sides),70.28950572,82.53364859,Grey,5
banana,70.32792918,82.0293547,Blue,1
Clock (2:00),70.47226261,36.08805306,Pink,2
banana,70.5128,53.718,Yellow ,1
polygons (11 sides),70.5382006,30.48355825,Grey,22
polygons (11 sides),70.56828982,50.49623612,Grey,22
Pentagon ,70.59589286,41.96474387,Yellow,5
polygons (11 sides),70.60594551,90.04206196,Grey,22
banana,70.72371623,87.15220752,Blue,1
banana,70.7692,91.0256,Yellow ,1
polygons (11 sides),70.78645116,10.51369504,Grey,22
banana,70.81041484,79.35046183,Blue,1
polygons (11 sides),70.81069225,89.59265401,Grey,22
polygons (11 sides),70.8444476,89.92420902,Grey,22
banana,70.86333083,79.40817475,Blue,1
polygons (11 sides),70.94684907,50.47270179,Grey,22
Pentagon ,70.96013623,41.25950129,Yellow,5
banana,70.9805804,17.15575228,Blue,1
banana,70.98194099,21.1458881,Orange,1
banana,71.2821,22.9487,Yellow ,1
banana,71.2821,10.641,Yellow ,1
Clock (2:00),71.48290969,34.68051699,Pink,2
banana,71.5385,60.641,Yellow ,1
banana,71.5385,64.4872,Yellow ,1
Clock (2:00),71.56918885,34.69921861,Pink,2
polygons (15 sides),71.69786512,10.86814451,Grey,5
polygons (15 sides),71.76831892,20.01106184,Grey,5
polygons (15 sides),71.79076769,71.06546666,Grey,5
Clock (2:00),71.826653,65.68623036,Pink,2
Clock (2:00),71.86701316,34.32915759,Pink,2
polygons (15 sides),71.96416711,41.87428267,Grey,5
polygons (15 sides),71.96508265,17.71023594,Grey,5
polygons (15 sides),72.04638946,12.91800673,Grey,5
banana,72.0513,86.4103,Yellow ,1
polygons (15 sides),72.13992541,0.015119325,Grey,5
banana,72.15671894,16.81427479,Blue,1
Pentagon ,72.17582431,63.12892942,Yellow,5
banana,72.22208221,19.3692817,Blue,1
banana,72.27252287,67.64444379,Blue,1
polygons (11 sides),72.30200573,70.22043738,Grey,22
Clock (2:00),72.40935459,33.03925697,Pink,2
polygons (15 sides),72.50932836,39.54013025,Grey,5
Clock (2:00),72.65462316,66.87827761,Pink,2
banana,72.83362587,72.11469381,Blue,1
banana,72.95904687,22.51149983,Orange,1
banana,73.03183302,73.12057473,Orange,1
polygons (15 sides),73.05398996,29.38080856,Grey,5
polygons (11 sides),73.10514816,70.30051188,Grey,22
Clock (2:00),73.24200233,67.35327113,Pink,2
polygons (11 sides),73.33636816,70.31692717,Grey,22
banana,73.39615493,22.81624794,Orange,1
banana,73.50744773,22.85698876,Orange,1
banana,73.8462,83.3333,Yellow ,1
polygons (15 sides),74.02169391,76.12827451,Grey,5
Clock (2:00),74.07070003,68.47956429,Pink,2
Clock (2:00),74.11423087,71.92636352,Pink,2
polygons (15 sides),74.13833139,49.17391898,Grey,5
polygons (15 sides),74.18903668,68.13358322,Grey,5
polygons (15 sides),74.24770821,20.31418781,Grey,5
polygons (15 sides),74.30011983,42.47709459,Grey,5
banana,74.359,22.9487,Yellow ,1
banana,74.359,10.641,Yellow ,1
polygons (11 sides),74.64787823,30.67386286,Grey,22
polygons (11 sides),74.67825414,70.44531419,Grey,22
polygons (15 sides),74.74118133,21.1016372,Grey,5
pentagon ,74.82025396,82.96238879,Neon Green,6
polygons (15 sides),74.88502116,25.41660632,Grey,5
banana,75.00639264,82.42583516,Blue,1
pentagon ,75.04472578,17.00426226,Neon Green,6
banana,75.09254978,83.43739071,Blue,1
Clock (2:00),75.10773009,30.01698342,Pink,2
banana,75.1282,79.1026,Yellow ,1
Pentagon ,75.13071421,23.37244197,Yellow,5
pentagon ,75.14234148,16.75492389,Neon Green,6
pentagon ,75.1524592,17.0049424,Neon Green,6
pentagon ,75.16434049,83.03499717,Neon Green,6
pentagon ,75.19456687,82.93211578,Neon Green,6
pentagon ,75.19829529,83.46230334,Neon Green,6
pentagon ,75.2280532,82.98566202,Neon Green,6
pentagon ,75.23996998,17.03184749,Neon Green,6
pentagon ,75.24432621,83.90349738,Neon Green,6
pentagon ,75.26335555,82.9452793,Neon Green,6
Clock (2:00),75.28388701,24.87475317,Pink,2
pentagon ,75.28708772,16.17493491,Neon Green,6
pentagon ,75.29647509,17.01565319,Neon Green,6
pentagon ,75.32597855,15.77189199,Neon Green,6
banana,75.35988197,75.42161458,Blue,1
pentagon ,75.40052716,17.04110689,Neon Green,6
polygons (15 sides),75.40122686,88.63907662,Grey,5
pentagon ,75.44806251,17.04514941,Neon Green,6
polygons (11 sides),75.47722202,10.51856804,Grey,22
pentagon ,75.47933966,82.88405139,Neon Green,6
pentagon ,75.57395413,17.06219214,Neon Green,6
pentagon ,75.60588476,17.06772306,Neon Green,6
banana,75.67420733,24.78250097,Orange,1
banana,75.68657114,24.74151039,Orange,1
pentagon ,75.70104153,82.91945886,Neon Green,6
pentagon ,75.7465632,17.10571651,Neon Green,6
pentagon ,75.75938382,16.94292965,Neon Green,6
pentagon ,75.77145009,17.11125121,Neon Green,6
polygons (15 sides),75.77193879,69.82923003,Grey,5
banana,75.77990482,79.88619942,Blue,1
polygons (15 sides),75.85522947,62.51704429,Grey,5
pentagon ,75.87096369,88.38644174,Neon Green,6
pentagon ,75.87099084,17.13489391,Neon Green,6
pentagon ,75.89557705,17.16994971,Neon Green,6
Clock (2:00),75.94830064,22.74479591,Pink,2
pentagon ,75.96184009,16.69484223,Neon Green,6
Clock (2:00),75.9692852,29.03886538,Pink,2
Pentagon ,75.98266152,16.30692238,Yellow,5
polygons (11 sides),75.98710471,50.49196696,Grey,22
Pentagon ,76.05801375,16.38374969,Yellow,5
pentagon ,76.06355025,52.10465206,Neon Green,6
polygons (15 sides),76.0882258,59.67993002,Grey,5
Clock (2:00),76.10562903,95.30498058,Pink,2
